id_licznika,id_adresu_klienta,data_zalozenia,data_usuniecia
1,1,2000-01-24,2007-06-03
2,2,2018-08-28,2022-09-11
3,3,2004-04-02,2009-12-09
4,4,2009-03-02,2015-11-06
5,5,2018-06-17,2022-09-11
6,6,2012-06-29,2013-01-24
7,7,2010-07-25,2013-01-24
8,8,2006-05-15,2013-01-24
9,9,2021-04-05,2022-09-11
10,10,2010-05-31,2018-10-01
11,11,2013-12-14,2014-03-09
12,12,2012-01-10,2024-09-25
13,13,2010-02-23,2013-01-24
14,14,2003-09-05,2015-01-20
15,15,2002-09-28,2010-12-10
16,16,2014-03-30,2023-10-03
17,17,2011-06-01,2023-10-03
18,18,2004-04-28,2024-09-06
19,19,2012-07-10,2023-10-03
20,20,2004-04-06,2017-10-26
21,21,2000-04-20,2020-09-12
22,22,2003-04-19,2024-08-31
23,23,2016-04-28,2023-11-16
24,24,2015-11-08,2022-06-18
25,25,2003-11-05,2020-05-03
26,26,2018-07-23,2023-10-03
27,27,2013-10-26,2024-10-11
28,28,2024-10-11,2024-12-08
29,29,2012-06-05,2024-10-11
30,30,2011-12-18,2012-03-30
31,31,2001-04-19,2012-03-30
32,32,2004-05-18,2015-12-24
33,33,2005-02-15,2024-10-11
34,34,2022-06-08,2022-06-10
35,35,2001-01-04,2006-06-05
36,36,2003-10-15,2019-08-17
37,37,2019-03-20,2019-11-21
38,38,2015-11-22,2019-03-20
39,39,2013-06-02,2015-09-27
40,40,2011-08-17,2017-07-07
41,41,2004-12-31,2020-11-26
42,42,2014-06-29,2023-08-02
43,43,2011-08-17,2014-06-29
44,44,2015-04-30,2018-10-29
45,45,2018-10-29,2019-10-07
46,46,2005-12-27,2019-10-07
47,47,2018-01-21,2019-10-07
48,48,2010-12-04,2022-10-05
49,49,2011-06-28,2022-04-29
50,50,2013-03-28,2024-03-07
1,1,2003-06-10,2006-08-09
2,2,2024-11-26,2024-12-07
3,3,2017-09-08,2024-03-07
4,4,2000-11-11,2024-01-17
5,5,2022-03-16,2024-12-07
6,6,2007-09-22,2022-10-19
7,7,2006-11-24,2007-09-22
8,8,2021-10-22,2024-10-11
9,9,2006-11-17,2007-09-22
10,10,2016-07-16,2019-10-02
11,11,2000-02-29,2010-06-16
12,12,2012-02-13,2013-09-19
13,13,2024-10-09,2024-10-11
14,14,2002-09-12,2023-10-01
15,15,2018-10-25,2019-10-02
16,16,2017-02-19,2022-02-17
17,17,2018-01-08,2022-02-17
18,18,2005-10-07,2015-07-19
19,19,2011-12-12,2024-12-15
20,20,2006-10-16,2022-08-04
21,21,2001-11-17,2011-12-12
22,22,2010-07-08,2010-11-14
23,23,2009-06-23,2023-06-14
24,24,2011-08-07,2023-06-14
25,25,2009-02-18,2023-06-14
26,26,2011-08-07,2011-08-07
27,27,2011-08-07,2016-11-13
28,28,2006-05-08,2016-11-13
29,29,2019-10-26,2022-06-20
30,30,2017-01-01,2019-10-26
31,31,2007-03-26,2017-01-01
32,32,2013-04-19,2017-01-01
33,33,2007-08-27,2010-03-30
34,34,2003-12-29,2017-11-02
35,35,2017-02-11,2022-06-20
36,36,2015-08-10,2022-06-20
37,37,2018-01-12,2022-06-20
38,38,2009-07-06,2022-06-20
39,39,2018-12-02,2020-12-10
40,40,2002-07-26,2009-07-06
41,41,2010-04-18,2015-07-22
42,42,2007-06-18,2011-12-13
43,43,2009-07-06,2014-11-17
44,44,2002-10-19,2012-01-17
45,45,2014-04-07,2014-11-17
46,46,2015-05-31,2015-07-22
47,47,2014-11-17,2020-12-31
48,48,2012-03-07,2014-11-17
49,49,2023-03-30,2024-09-24
50,50,2011-12-13,2014-11-17
